Model;Task;Item;highlight;total;percentage
cogvlm;symmetry_asymmetry_1;317cbd7af35213a4a80e5d31e30368e8.jpg;32;201;15,92
deepseek;proportion;317cbd7af35213a4a80e5d31e30368e8.jpg;25;946;2,64
deepseek;foreground_background_4;317cbd7af35213a4a80e5d31e30368e8.jpg;0;1510;0,0
llava;proportion;a67ca6813835e5e58961d4336e46c197.jpg;162;484;33,47
deepseek;balance_elements;a67ca6813835e5e58961d4336e46c197.jpg;50;1673;2,99
cogvlm;balance_elements;1c501095b675902362f6e9dcc8bab246.jpg;0;407;0,0
cogvlm;proportion;1c501095b675902362f6e9dcc8bab246.jpg;0;453;0,0
deepseek;balance_elements;1c501095b675902362f6e9dcc8bab246.jpg;15;1716;0,87
llava;contrast_elements;b0c8ad1947f1a30d4d746c963696f4ce.jpg;0;613;0,0
llava;symmetry_asymmetry_1;b0c8ad1947f1a30d4d746c963696f4ce.jpg;10;492;2,03
deepseek;focus_point;b0c8ad1947f1a30d4d746c963696f4ce.jpg;176;970;18,14
cogvlm;balance_elements;2174b333c91d2fa7d936e97e4386d983.jpg;12;449;2,67
cogvlm;contrast_elements;2174b333c91d2fa7d936e97e4386d983.jpg;0;336;0,0
deepseek;composition;2174b333c91d2fa7d936e97e4386d983.jpg;0;1538;0,0
deepseek;balance_elements;2174b333c91d2fa7d936e97e4386d983.jpg;32;926;3,46
deepseek;contrast_elements;2174b333c91d2fa7d936e97e4386d983.jpg;220;1930;11,4
deepseek;composition;72519c5ccf08e7533cfa5dc154d8a968.jpg;56;892;6,28
deepseek;contrast_elements;72519c5ccf08e7533cfa5dc154d8a968.jpg;14;807;1,73
llava;balance_elements;0875a6148f7da92df0fc6a258bf00c77.jpg;127;1164;10,91
llava;contrast_elements;0875a6148f7da92df0fc6a258bf00c77.jpg;186;625;29,76
deepseek;eye_movement_2;0875a6148f7da92df0fc6a258bf00c77.jpg;6;2295;0,26
cogvlm;balance_elements;aa63fcb5f3f054e41426727b2084dc2e.jpg;48;447;10,74
deepseek;contrast_elements;aa63fcb5f3f054e41426727b2084dc2e.jpg;213;980;21,73
llava;eye_movement_2;b3de88d2fa3fbf442749bcbf10bb8939.jpg;260;723;35,96
cogvlm;contrast_elements;b3de88d2fa3fbf442749bcbf10bb8939.jpg;0;434;0,0
cogvlm;eye_movement_2;b3de88d2fa3fbf442749bcbf10bb8939.jpg;56;416;13,46
deepseek;balance_elements;b3de88d2fa3fbf442749bcbf10bb8939.jpg;16;1891;0,85
deepseek;symmetry_asymmetry_1;b3de88d2fa3fbf442749bcbf10bb8939.jpg;97;2922;3,32
llava;balance_elements;d792700abadc24170124b8b01915d5f8.jpg;206;652;31,6
cogvlm;focus_point;d792700abadc24170124b8b01915d5f8.jpg;75;324;23,15
llava;balance_elements;39a2d1a7508ac84e097b717704ede66e.jpg;66;602;10,96
llava;focus_point;39a2d1a7508ac84e097b717704ede66e.jpg;107;592;18,07
cogvlm;balance_elements;39a2d1a7508ac84e097b717704ede66e.jpg;23;431;5,34
deepseek;composition;39a2d1a7508ac84e097b717704ede66e.jpg;135;1708;7,9
llava;balance_elements;24c5eda44962442b432db52c7dfd5d1a.jpg;70;531;13,18
cogvlm;composition;24c5eda44962442b432db52c7dfd5d1a.jpg;36;468;7,69
llava;composition;6c21114880937e39b4bea10ce45567c2.jpg;64;1166;5,49
cogvlm;contrast_elements;6c21114880937e39b4bea10ce45567c2.jpg;62;379;16,36
deepseek;balance_elements;6c21114880937e39b4bea10ce45567c2.jpg;4;1382;0,29
cogvlm;symmetry_asymmetry_1;a25602e9ef1dc788c586c70081a442f2.jpg;8;165;4,85
llava;symmetry_asymmetry_1;9fab78a3b8c1e0126dcc943baee8918d.jpg;230;491;46,84
deepseek;eye_movement_2;8b2e6c3080203d4d1badfa56b753a6d3.jpg;4;1618;0,25
llava;eye_movement_2;fe52baad9432a25851278bfa7ec3a86f.jpg;92;873;10,54
cogvlm;eye_movement_2;dd5d1b60db599be5e8c238bee8462a15.jpg;67;392;17,09
deepseek;focus_point;dd5d1b60db599be5e8c238bee8462a15.jpg;198;1302;15,21
llava;contrast_elements;0ed30ccd0baf1c1332e6e082c64455a4.jpg;159;600;26,5
cogvlm;balance_elements;0ed30ccd0baf1c1332e6e082c64455a4.jpg;91;570;15,96
cogvlm;composition;d8c5f661e9d5ffa8bffc814a3fc6e935.jpg;55;377;14,59
cogvlm;symmetry_asymmetry_1;d8c5f661e9d5ffa8bffc814a3fc6e935.jpg;0;248;0,0
deepseek;symmetry_asymmetry_1;d8c5f661e9d5ffa8bffc814a3fc6e935.jpg;169;1491;11,33
llava;composition;7a566e1c05c0b42c118760aeecc47edb.jpg;210;557;37,7
llava;symmetry_asymmetry_1;7a566e1c05c0b42c118760aeecc47edb.jpg;74;399;18,55
cogvlm;focus_point;7a566e1c05c0b42c118760aeecc47edb.jpg;0;261;0,0
llava;focus_point;9ecc59478f04350c181bb99b75a1e6c4.jpg;37;521;7,1
llava;eye_movement_2;9ecc59478f04350c181bb99b75a1e6c4.jpg;159;1106;14,38
deepseek;eye_movement_2;9ecc59478f04350c181bb99b75a1e6c4.jpg;89;1825;4,88
llava;balance_elements;e2e69c417d307e48ed275826300dacbd.jpg;144;530;27,17
cogvlm;balance_elements;e2e69c417d307e48ed275826300dacbd.jpg;116;529;21,93
deepseek;balance_elements;e2e69c417d307e48ed275826300dacbd.jpg;149;1834;8,12
cogvlm;composition;1eb250ac61e9ffca969c5f528ead6b23.jpg;0;489;0,0
cogvlm;eye_movement_2;1eb250ac61e9ffca969c5f528ead6b23.jpg;0;335;0,0
cogvlm;symmetry_asymmetry_1;d64d133d79b7ad425c6f52a8e02a09f5.jpg;154;269;57,25
llava;symmetry_asymmetry_1;26c521930dd73c0bf8a8675b08698b51.jpg;56;445;12,58
deepseek;contrast_elements;26c521930dd73c0bf8a8675b08698b51.jpg;7;1987;0,35
deepseek;symmetry_asymmetry_1;f78e6b6a97e7c5bb2d9b77952e43b428.jpg;167;1287;12,98
llava;contrast_elements;b129f69309638fda34b7da2ebbfce83a.jpg;29;587;4,94
cogvlm;symmetry_asymmetry_1;b129f69309638fda34b7da2ebbfce83a.jpg;19;192;9,9
cogvlm;eye_movement_2;0cfe6cbc00ffd9c46c5ca805eedb14a5.jpg;51;387;13,18
deepseek;eye_movement_2;437f14c6a2218e91d70e2ed77a05ee36.jpg;187;1827;10,24
cogvlm;contrast_elements;178acaa395581f4c77c1510a253e3ced.jpg;0;352;0,0
llava;symmetry_asymmetry_1;e8cad5095d378494dcfc41b2d33d8915.jpg;28;375;7,47
deepseek;symmetry_asymmetry_1;fe4c7983efd3242e7322ecee9c665e68.jpg;133;1404;9,47
llava;foreground_background_4;cb5b90942c93eb6688aaa0b633df56a9.jpg;0;534;0,0
cogvlm;foreground_background_4;4dceb2db532d3e56bfadf5b1a28713c2.jpg;0;454;0,0



llava;proportion;a67ca6813835e5e58961d4336e46c197.jpg;162;484;33,47
llava;contrast_elements;b0c8ad1947f1a30d4d746c963696f4ce.jpg;0;613;0,0
llava;symmetry_asymmetry_1;b0c8ad1947f1a30d4d746c963696f4ce.jpg;10;492;2,03
llava;balance_elements;0875a6148f7da92df0fc6a258bf00c77.jpg;127;1164;10,91
llava;contrast_elements;0875a6148f7da92df0fc6a258bf00c77.jpg;186;625;29,76
llava;eye_movement_2;b3de88d2fa3fbf442749bcbf10bb8939.jpg;260;723;35,96
llava;balance_elements;d792700abadc24170124b8b01915d5f8.jpg;206;652;31,6
llava;balance_elements;39a2d1a7508ac84e097b717704ede66e.jpg;66;602;10,96
llava;focus_point;39a2d1a7508ac84e097b717704ede66e.jpg;107;592;18,07
llava;balance_elements;24c5eda44962442b432db52c7dfd5d1a.jpg;70;531;13,18
llava;composition;6c21114880937e39b4bea10ce45567c2.jpg;64;1166;5,49
llava;symmetry_asymmetry_1;9fab78a3b8c1e0126dcc943baee8918d.jpg;230;491;46,84
llava;eye_movement_2;fe52baad9432a25851278bfa7ec3a86f.jpg;92;873;10,54
llava;contrast_elements;0ed30ccd0baf1c1332e6e082c64455a4.jpg;159;600;26,5
llava;composition;7a566e1c05c0b42c118760aeecc47edb.jpg;210;557;37,7
llava;symmetry_asymmetry_1;7a566e1c05c0b42c118760aeecc47edb.jpg;74;399;18,55
llava;focus_point;9ecc59478f04350c181bb99b75a1e6c4.jpg;37;521;7,1
llava;eye_movement_2;9ecc59478f04350c181bb99b75a1e6c4.jpg;159;1106;14,38
llava;balance_elements;e2e69c417d307e48ed275826300dacbd.jpg;144;530;27,17
llava;symmetry_asymmetry_1;26c521930dd73c0bf8a8675b08698b51.jpg;56;445;12,58
llava;contrast_elements;b129f69309638fda34b7da2ebbfce83a.jpg;29;587;4,94
llava;symmetry_asymmetry_1;e8cad5095d378494dcfc41b2d33d8915.jpg;28;375;7,47
llava;foreground_background_4;cb5b90942c93eb6688aaa0b633df56a9.jpg;0;534;0,0



cogvlm;symmetry_asymmetry_1;317cbd7af35213a4a80e5d31e30368e8.jpg;32;201;15,92
cogvlm;balance_elements;1c501095b675902362f6e9dcc8bab246.jpg;0;407;0,0
cogvlm;proportion;1c501095b675902362f6e9dcc8bab246.jpg;0;453;0,0
