Model;Task;Item;highlight;total;percentage;;;;;;;
llava;composition;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;208;612;33,99;;;;;;;
llava;balance_elements;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;0;912;0;;;;;;;
llava;focus_point;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;96;1098;8,74;;;;;;;
llava;symmetry_asymmetry_1;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;35;445;7,87;;;;;;;
cogvlm;focus_point;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;63;375;16,8;;;;;;;
cogvlm;focus_point;giovanni-antonio-boltraffio_portrait-alleged-to-be-of-anne-whateley-in-fact-likely-to-be-girolamo-casio-1495.jpg;0;289;0;;;;;;;
deepseek;focus_point;giovanni-antonio-boltraffio_portrait-alleged-to-be-of-anne-whateley-in-fact-likely-to-be-girolamo-casio-1495.jpg;23;721;3,19;;;;;;;
llava;focus_point;pietro-perugino_the-vision-of-st-bernard.jpg;12;539;2,23;;;;;;;
deepseek;balance_elements;raphael_the-blinding-of-elymas-cartoon-for-the-sistine-chapel.jpg;41;773;5,3;;;;;;;
deepseek;focus_point;raphael_the-blinding-of-elymas-cartoon-for-the-sistine-chapel.jpg;326;640;50,94;;;;;;;
llava;balance_elements;andrea-mantegna_samson-and-delilah-1506.jpg;364;762;47,77;;;;;;;
llava;proportion;andrea-mantegna_samson-and-delilah-1506.jpg;24;497;4,83;;;;;;;
deepseek;composition;andrea-mantegna_samson-and-delilah-1506.jpg;109;874;12,47;;;;;;;
llava;contrast_elements;raphael_the-marriage-of-the-virgin-1504-1.jpg;19;515;3,69;;;;;;;
cogvlm;balance_elements;raphael_the-marriage-of-the-virgin-1504-1.jpg;78;1317;5,92;;;;;;;
cogvlm;symmetry_asymmetry_1;raphael_the-marriage-of-the-virgin-1504-1.jpg;0;260;0;;;;;;;
llava;symmetry_asymmetry_1;dosso-dossi_the-three-ages-of-man-1515.jpg;103;589;17,49;;;;;;;
cogvlm;focus_point;dosso-dossi_the-three-ages-of-man-1515.jpg;86;229;37,55;;;;;;;
llava;focus_point;andrea-del-sarto_the-annunciation-1513.jpg;196;1112;17,63;;;;;;;
cogvlm;symmetry_asymmetry_1;andrea-del-sarto_the-annunciation-1513.jpg;72;285;25,26;;;;;;;
deepseek;balance_elements;andrea-del-sarto_the-annunciation-1513.jpg;400;1502;26,63;;;;;;;
llava;proportion;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;7;577;1,21;;;;;;;
llava;symmetry_asymmetry_1;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;149;516;28,88;;;;;;;
cogvlm;contrast_elements;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;16;403;3,97;;;;;;;
cogvlm;proportion;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;19;356;5,34;;;;;;;
deepseek;composition;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;111;718;15,46;;;;;;;
deepseek;contrast_elements;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;187;1960;9,54;;;;;;;
llava;composition;cima-da-conegliano_st-peter-enthroned-with-saints.jpg;98;591;16,58;;;;;;;
cogvlm;composition;cima-da-conegliano_st-peter-enthroned-with-saints.jpg;96;391;24,55;;;;;;;
cogvlm;symmetry_asymmetry_1;cima-da-conegliano_st-peter-enthroned-with-saints.jpg;0;376;0;;;;;;;
llava;composition;andrea-del-sarto_stories-of-joseph-1.jpg;122;758;16,09;;;;;;;
llava;focus_point;andrea-del-sarto_stories-of-joseph-1.jpg;82;641;12,79;;;;;;;
llava;contrast_elements;andrea-del-sarto_stories-of-joseph-1.jpg;307;661;46,44;;;;;;;
llava;symmetry_asymmetry_1;vittore-carpaccio_virgin-mary-and-john-the-baptist-praying-to-the-child-christ.jpg;48;497;9,66;;;;;;;
cogvlm;symmetry_asymmetry_1;lorenzo-lotto_christ-s-farewell-to-mary-1521.jpg;35;246;14,23;;;;;;;
deepseek;symmetry_asymmetry_1;lorenzo-lotto_christ-s-farewell-to-mary-1521.jpg;27;877;3,08;;;;;;;
cogvlm;composition;andrea-mantegna_the-agony-in-the-garden.jpg;42;541;7,76;;;;;;;
cogvlm;symmetry_asymmetry_1;andrea-mantegna_the-agony-in-the-garden.jpg;19;290;6,55;;;;;;;
deepseek;balance_elements;andrea-mantegna_the-agony-in-the-garden.jpg;79;3742;2,11;;;;;;;
deepseek;proportion;andrea-mantegna_the-agony-in-the-garden.jpg;15;894;1,68;;;;;;;
llava;balance_elements;raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;74;848;8,73;;;;;;;
cogvlm;balance_elements;raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;87;380;22,89;;;;;;;
cogvlm;focus_point;raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;0;313;0;;;;;;;
cogvlm;focus_point;vittore-carpaccio_the-miracle-of-the-relic-of-the-true-cross-on-the-rialto-bridge-1494.jpg;46;358;12,85;;;;;;;
deepseek;symmetry_asymmetry_1;vittore-carpaccio_the-miracle-of-the-relic-of-the-true-cross-on-the-rialto-bridge-1494.jpg;65;1296;5,02;;;;;;;
cogvlm;contrast_elements;cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;60;930;6,45;;;;;;;
deepseek;focus_point;cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;1160;720;161,11;;;;;;;
deepseek;contrast_elements;cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;65;625;10,4;;;;;;;
llava;focus_point;vittore-carpaccio_the-repatriation-of-the-english-ambassadors-1500.jpg;0;483;0;;;;;;;
cogvlm;focus_point;vittore-carpaccio_the-repatriation-of-the-english-ambassadors-1500.jpg;80;326;24,54;;;;;;;
cogvlm;symmetry_asymmetry_1;vittore-carpaccio_the-repatriation-of-the-english-ambassadors-1500.jpg;288;260;110,77;;;;;;;
cogvlm;proportion;lorenzo-lotto_altar-of-st-lucia-st-lucia-in-front-of-the-judges-1532.jpg;0;388;0;;;;;;;
deepseek;symmetry_asymmetry_1;lorenzo-lotto_altar-of-st-lucia-st-lucia-in-front-of-the-judges-1532.jpg;101;1882;5,37;;;;;;;
cogvlm;focus_point;vittore-carpaccio_the-virgin-reading-1510.jpg;34;276;12,32;;;;;;;
llava;symmetry_asymmetry_1;giorgione_the-sunset-1510(1).jpg;56;497;11,27;;;;;;;
deepseek;focus_point;giorgione_the-sunset-1510(1).jpg;297;2508;11,84;;;;;;;
deepseek;contrast_elements;vittore-carpaccio_the-glory-of-st-vidal-1514.jpg;52;1323;3,93;;;;;;;
deepseek;symmetry_asymmetry_1;vittore-carpaccio_the-glory-of-st-vidal-1514.jpg;450;1434;31,38;;;;;;;
llava;contrast_elements;andrea-mantegna_st-jacques-leads-to-martyrdom.jpg;148;753;19,65;;;;;;;
deepseek;composition;pietro-perugino_marriage-of-the-virgin-1504.jpg;0;1576;0;;;;;;;
deepseek;composition;cima-da-conegliano_the-healing-of-anianus.jpg;371;1452;25,55;;;;;;;
deepseek;focus_point;cima-da-conegliano_the-healing-of-anianus.jpg;153;1474;10,38;;;;;;;
llava;balance_elements;correggio_departure-of-christ-from-mary-with-mary-and-martha-the-sisters-of-lazarus-1518.jpg;262;733;35,74;;;;;;;
deepseek;symmetry_asymmetry_1;correggio_departure-of-christ-from-mary-with-mary-and-martha-the-sisters-of-lazarus-1518.jpg;127;1386;9,16;;;;;;;
deepseek;focus_point;andrea-del-sarto_stories-of-joseph.jpg;110;732;15,03;;;;;;;
deepseek;proportion;raphael_st-cecilia-with-saints-detail-1516-1.jpg;121;1444;8,38;;;;;;;
cogvlm;composition;raphael_the-death-of-ananias-cartoon-for-the-sistine-chapel.jpg;0;374;0;;;;;;;
llava;composition;andrea-mantegna_captured-statues-and-siege-equipment-1506.jpg;169;573;29,49;;;;;;;
llava;focus_point;andrea-mantegna_captured-statues-and-siege-equipment-1506.jpg;0;606;0;;;;;;;
cogvlm;composition;correggio_four-saints-from-left-st-peter-st-martha-st-mary-magdalene-st-leonard-1517.jpg;80;403;19,85;;;;;;;
deepseek;symmetry_asymmetry_1;raphael_the-guards-outside-the-prison-detail-from-the-liberation-of-st-peter-in-the-stanza-d-eliodoro-1514.jpg;431;1383;31,16;;;;;;;
llava;symmetry_asymmetry_1;correggio_adoration-of-the-christ-child(2).jpg;229;592;38,68;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
llava;composition;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;208;612;33,99;;33,99;16,8;3,19;;;
llava;balance_elements;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;0;912;0;;0;0;5,3;;;
llava;focus_point;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;96;1098;8,74;;8,74;5,92;50,94;;;
llava;symmetry_asymmetry_1;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;35;445;7,87;;7,87;0;12,47;;;
llava;focus_point;pietro-perugino_the-vision-of-st-bernard.jpg;12;539;2,23;;2,23;37,55;26,63;;;
llava;balance_elements;andrea-mantegna_samson-and-delilah-1506.jpg;364;762;47,77;;47,77;25,26;15,46;;;
llava;proportion;andrea-mantegna_samson-and-delilah-1506.jpg;24;497;4,83;;4,83;3,97;9,54;;;
llava;contrast_elements;raphael_the-marriage-of-the-virgin-1504-1.jpg;19;515;3,69;;3,69;5,34;3,08;;;
llava;symmetry_asymmetry_1;dosso-dossi_the-three-ages-of-man-1515.jpg;103;589;17,49;;17,49;24,55;2,11;;;
llava;focus_point;andrea-del-sarto_the-annunciation-1513.jpg;196;1112;17,63;;17,63;0;1,68;;;
