Model;Task;Item;highlight;total;percentage
llava;composition;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;208;612;33,99
llava;balance_elements;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;0;912;0,0
llava;focus_point;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;14;578;2,42
llava;symmetry_asymmetry_1;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;35;445;7,87
cogvlm;focus_point;andrea-mantegna_the-martyrdom-of-st-jacques.jpg;63;375;16,8
cogvlm;focus_point;giovanni-antonio-boltraffio_portrait-alleged-to-be-of-anne-whateley-in-fact-likely-to-be-girolamo-casio-1495.jpg;0;289;0,0
deepseek;focus_point;giovanni-antonio-boltraffio_portrait-alleged-to-be-of-anne-whateley-in-fact-likely-to-be-girolamo-casio-1495.jpg;23;721;3,19
llava;focus_point;pietro-perugino_the-vision-of-st-bernard.jpg;12;539;2,23
deepseek;balance_elements;raphael_the-blinding-of-elymas-cartoon-for-the-sistine-chapel.jpg;41;773;5,3
deepseek;focus_point;raphael_the-blinding-of-elymas-cartoon-for-the-sistine-chapel.jpg;326;640;50,94
deepseek;foreground_background_4;raphael_the-blinding-of-elymas-cartoon-for-the-sistine-chapel.jpg;152;1000;15,2
llava;balance_elements;andrea-mantegna_samson-and-delilah-1506.jpg;364;762;47,77
llava;proportion;andrea-mantegna_samson-and-delilah-1506.jpg;24;497;4,83
deepseek;composition;andrea-mantegna_samson-and-delilah-1506.jpg;109;874;12,47
deepseek;eye_movement_2;andrea-mantegna_samson-and-delilah-1506.jpg;60;1000;6,0
llava;contrast_elements;raphael_the-marriage-of-the-virgin-1504-1.jpg;19;515;3,69
llava;foreground_background_4;raphael_the-marriage-of-the-virgin-1504-1.jpg;75;520;14,42
cogvlm;balance_elements;raphael_the-marriage-of-the-virgin-1504-1.jpg;78;1317;5,92
cogvlm;symmetry_asymmetry_1;raphael_the-marriage-of-the-virgin-1504-1.jpg;0;260;0,0
llava;symmetry_asymmetry_1;dosso-dossi_the-three-ages-of-man-1515.jpg;103;589;17,49
cogvlm;focus_point;dosso-dossi_the-three-ages-of-man-1515.jpg;86;229;37,55
llava;focus_point;andrea-del-sarto_the-annunciation-1513.jpg;196;1112;17,63
cogvlm;foreground_background_4;andrea-del-sarto_the-annunciation-1513.jpg;56;415;13,49
cogvlm;symmetry_asymmetry_1;andrea-del-sarto_the-annunciation-1513.jpg;72;285;25,26
deepseek;balance_elements;andrea-del-sarto_the-annunciation-1513.jpg;341;1000;34,1
llava;proportion;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;7;577;1,21
llava;symmetry_asymmetry_1;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;149;516;28,88
cogvlm;contrast_elements;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;16;403;3,97
cogvlm;proportion;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;19;356;5,34
deepseek;composition;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;111;718;15,46
deepseek;contrast_elements;pietro-perugino_pala-di-fano-nativity-of-mary.jpg;187;1000;18,7
llava;composition;cima-da-conegliano_st-peter-enthroned-with-saints.jpg;98;591;16,58
cogvlm;composition;cima-da-conegliano_st-peter-enthroned-with-saints.jpg;96;391;24,55
cogvlm;symmetry_asymmetry_1;cima-da-conegliano_st-peter-enthroned-with-saints.jpg;0;376;0,0
deepseek;foreground_background_4;cima-da-conegliano_st-peter-enthroned-with-saints.jpg;59;1000;5,9
llava;composition;andrea-del-sarto_stories-of-joseph-1.jpg;122;758;16,09
llava;focus_point;andrea-del-sarto_stories-of-joseph-1.jpg;82;641;12,79
llava;contrast_elements;andrea-del-sarto_stories-of-joseph-1.jpg;307;661;46,44
llava;foreground_background_4;andrea-del-sarto_stories-of-joseph-1.jpg;27;488;5,53
llava;symmetry_asymmetry_1;vittore-carpaccio_virgin-mary-and-john-the-baptist-praying-to-the-child-christ.jpg;48;497;9,66
cogvlm;symmetry_asymmetry_1;lorenzo-lotto_christ-s-farewell-to-mary-1521.jpg;35;246;14,23
deepseek;symmetry_asymmetry_1;lorenzo-lotto_christ-s-farewell-to-mary-1521.jpg;27;877;3,08
cogvlm;composition;andrea-mantegna_the-agony-in-the-garden.jpg;42;541;7,76
cogvlm;symmetry_asymmetry_1;andrea-mantegna_the-agony-in-the-garden.jpg;19;290;6,55
deepseek;balance_elements;andrea-mantegna_the-agony-in-the-garden.jpg;79;2000;3,95
deepseek;proportion;andrea-mantegna_the-agony-in-the-garden.jpg;15;894;1,68
llava;balance_elements;raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;74;848;8,73
cogvlm;balance_elements;raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;87;380;22,89
cogvlm;focus_point;raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;0;313;0,0
