image_filename;question;model;contestant_1;contestant_2;data_type
vittore-carpaccio_arrival-of-st-ursula-during-the-siege-of-cologne-1498.jpg;contrast_elements;llava;llava;deepseek;renaissance
correggio_the-adoration-of-the-magi-1518(2).jpg;contrast_elements;llava;llava;cogvlm;renaissance
cima-da-conegliano_st-peter-enthroned-with-saints.jpg;contrast_elements;cogvlm;cogvlm;deepseek;renaissance
lorenzo-lotto_altar-polyptych-of-san-bartolomeo-bergamo-foot-plate-entombment-1516.jpg;composition;deepseek;llava;deepseek;renaissance
cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;composition;llava;llava;cogvlm;renaissance
vittore-carpaccio_the-repatriation-of-the-english-ambassadors-1500.jpg;composition;cogvlm;cogvlm;deepseek;renaissance
cb5b90942c93eb6688aaa0b633df56a9.jpg;eye_movement_2;llava;llava;cogvlm;pinterest
1eb250ac61e9ffca969c5f528ead6b23.jpg;eye_movement_2;deepseek;cogvlm;deepseek;pinterest
437f14c6a2218e91d70e2ed77a05ee36.jpg;eye_movement_2;deepseek;llava;deepseek;pinterest
233d54e476efa149bbd2ceedd1656fcf.jpg;foreground_background_4;cogvlm;llava;cogvlm;pinterest
b3de88d2fa3fbf442749bcbf10bb8939.jpg;foreground_background_4;deepseek;cogvlm;deepseek;pinterest
fe4c7983efd3242e7322ecee9c665e68.jpg;foreground_background_4;deepseek;llava;deepseek;pinterest
andrea-mantegna_st-jacques-leads-to-martyrdom.jpg;foreground_background_4;cogvlm;llava;cogvlm;renaissance
cima-da-conegliano_the-healing-of-anianus.jpg;foreground_background_4;deepseek;llava;deepseek;renaissance
correggio_departure-of-christ-from-mary-with-mary-and-martha-the-sisters-of-lazarus-1518.jpg;foreground_background_4;deepseek;cogvlm;deepseek;renaissance
giorgione_musical-instruments-music-1510(1).jpg;balance_elements;cogvlm;llava;cogvlm;renaissance
pietro-perugino_marriage-of-the-virgin-1504.jpg;balance_elements;deepseek;cogvlm;deepseek;renaissance
vittore-carpaccio_the-miracle-of-the-relic-of-the-true-cross-on-the-rialto-bridge-1494.jpg;balance_elements;llava;llava;deepseek;renaissance
giorgione_the-sunset-1510(1).jpg;composition;cogvlm;cogvlm;deepseek;renaissance
correggio_four-saints-from-left-st-peter-st-martha-st-mary-magdalene-st-leonard-1517.jpg;composition;llava;llava;deepseek;renaissance
correggio_adoration-of-the-christ-child(2).jpg;composition;cogvlm;llava;cogvlm;renaissance
raphael_the-blinding-of-elymas-cartoon-for-the-sistine-chapel.jpg;contrast_elements;deepseek;llava;deepseek;renaissance
andrea-del-sarto_the-annunciation-1513.jpg;contrast_elements;deepseek;cogvlm;deepseek;renaissance
pietro-perugino_marriage-of-the-virgin-1504.jpg;contrast_elements;cogvlm;llava;cogvlm;renaissance
correggio_four-saints-from-left-st-peter-st-martha-st-mary-magdalene-st-leonard-1517.jpg;proportion;cogvlm;llava;cogvlm;renaissance
vittore-carpaccio_the-virgin-reading-1510.jpg;proportion;deepseek;cogvlm;deepseek;renaissance
pietro-perugino_the-vision-of-st-bernard.jpg;proportion;deepseek;llava;deepseek;renaissance
andrea-mantegna_samson-and-delilah-1506.jpg;symmetry_asymmetry_1;llava;llava;cogvlm;renaissance
cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;symmetry_asymmetry_1;deepseek;llava;deepseek;renaissance
vittore-carpaccio_the-departure-of-the-english-ambassadors-1498.jpg;symmetry_asymmetry_1;deepseek;cogvlm;deepseek;renaissance
0875a6148f7da92df0fc6a258bf00c77.jpg;balance_elements;cogvlm;cogvlm;deepseek;pinterest
6c21114880937e39b4bea10ce45567c2.jpg;balance_elements;deepseek;llava;deepseek;pinterest
2174b333c91d2fa7d936e97e4386d983.jpg;balance_elements;cogvlm;llava;cogvlm;pinterest
a25602e9ef1dc788c586c70081a442f2.jpg;symmetry_asymmetry_1;deepseek;cogvlm;deepseek;pinterest
b3de88d2fa3fbf442749bcbf10bb8939.jpg;symmetry_asymmetry_1;llava;llava;deepseek;pinterest
b0c8ad1947f1a30d4d746c963696f4ce.jpg;symmetry_asymmetry_1;llava;llava;cogvlm;pinterest
9fab78a3b8c1e0126dcc943baee8918d.jpg;symmetry_asymmetry_1;;llava;deepseek;pinterest
b3de88d2fa3fbf442749bcbf10bb8939.jpg;symmetry_asymmetry_1;;cogvlm;deepseek;pinterest
317cbd7af35213a4a80e5d31e30368e8.jpg;symmetry_asymmetry_1;;llava;cogvlm;pinterest
8b2e6c3080203d4d1badfa56b753a6d3.jpg;eye_movement_2;;llava;cogvlm;pinterest
fe52baad9432a25851278bfa7ec3a86f.jpg;eye_movement_2;;cogvlm;deepseek;pinterest
dd5d1b60db599be5e8c238bee8462a15.jpg;eye_movement_2;;llava;deepseek;pinterest
233d54e476efa149bbd2ceedd1656fcf.jpg;symmetry_asymmetry_1;cogvlm;cogvlm;deepseek;pinterest
6c21114880937e39b4bea10ce45567c2.jpg;symmetry_asymmetry_1;deepseek;llava;deepseek;pinterest
0875a6148f7da92df0fc6a258bf00c77.jpg;symmetry_asymmetry_1;llava;llava;cogvlm;pinterest
7a566e1c05c0b42c118760aeecc47edb.jpg;balance_elements;deepseek;cogvlm;deepseek;pinterest
d792700abadc24170124b8b01915d5f8.jpg;balance_elements;deepseek;llava;deepseek;pinterest
0cfe6cbc00ffd9c46c5ca805eedb14a5.jpg;balance_elements;llava;llava;cogvlm;pinterest
raphael_the-marriage-of-the-virgin-1504-1.jpg;balance_elements;deepseek;cogvlm;deepseek;renaissance
raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;balance_elements;deepseek;llava;deepseek;renaissance
andrea-del-sarto_the-annunciation-1513.jpg;balance_elements;cogvlm;llava;cogvlm;renaissance
andrea-mantegna_samson-and-delilah-1506.jpg;eye_movement_2;deepseek;cogvlm;deepseek;renaissance
raphael_the-death-of-ananias-cartoon-for-the-sistine-chapel.jpg;eye_movement_2;llava;llava;cogvlm;renaissance
vittore-carpaccio_the-departure-of-the-english-ambassadors-1498.jpg;eye_movement_2;deepseek;llava;deepseek;renaissance
6c21114880937e39b4bea10ce45567c2.jpg;contrast_elements;;llava;deepseek;pinterest
0ed30ccd0baf1c1332e6e082c64455a4.jpg;contrast_elements;;cogvlm;deepseek;pinterest
2174b333c91d2fa7d936e97e4386d983.jpg;contrast_elements;;llava;cogvlm;pinterest
39a2d1a7508ac84e097b717704ede66e.jpg;composition;;cogvlm;deepseek;pinterest
d8c5f661e9d5ffa8bffc814a3fc6e935.jpg;composition;;llava;cogvlm;pinterest
7a566e1c05c0b42c118760aeecc47edb.jpg;composition;;llava;deepseek;pinterest
andrea-del-sarto_stories-of-joseph-1.jpg;foreground_background_4;;cogvlm;deepseek;renaissance
correggio_four-saints-from-left-st-peter-st-martha-st-mary-magdalene-st-leonard-1517.jpg;foreground_background_4;;llava;cogvlm;renaissance
andrea-mantegna_captured-statues-and-siege-equipment-1506.jpg;foreground_background_4;;llava;deepseek;renaissance
andrea-mantegna_the-martyrdom-of-st-jacques.jpg;focus_point;;llava;deepseek;renaissance
vittore-carpaccio_the-miracle-of-the-relic-of-the-true-cross-on-the-rialto-bridge-1494.jpg;focus_point;;llava;cogvlm;renaissance
cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;focus_point;;cogvlm;deepseek;renaissance
9ecc59478f04350c181bb99b75a1e6c4.jpg;eye_movement_2;;cogvlm;deepseek;pinterest
0875a6148f7da92df0fc6a258bf00c77.jpg;eye_movement_2;;llava;deepseek;pinterest
b3de88d2fa3fbf442749bcbf10bb8939.jpg;eye_movement_2;;llava;cogvlm;pinterest
e2e69c417d307e48ed275826300dacbd.jpg;balance_elements;;llava;cogvlm;pinterest
1c501095b675902362f6e9dcc8bab246.jpg;balance_elements;;cogvlm;deepseek;pinterest
39a2d1a7508ac84e097b717704ede66e.jpg;balance_elements;;llava;deepseek;pinterest
vittore-carpaccio_the-repatriation-of-the-english-ambassadors-1500.jpg;symmetry_asymmetry_1;;llava;deepseek;renaissance
andrea-mantegna_the-martyrdom-of-st-jacques.jpg;symmetry_asymmetry_1;;llava;cogvlm;renaissance
lorenzo-lotto_altar-of-st-lucia-st-lucia-in-front-of-the-judges-1532.jpg;symmetry_asymmetry_1;;cogvlm;deepseek;renaissance
andrea-del-sarto_stories-of-joseph-1.jpg;focus_point;;llava;deepseek;renaissance
vittore-carpaccio_the-virgin-reading-1510.jpg;focus_point;;llava;cogvlm;renaissance
giorgione_the-sunset-1510(1).jpg;focus_point;;cogvlm;deepseek;renaissance
39a2d1a7508ac84e097b717704ede66e.jpg;balance_elements;llava;llava;cogvlm;pinterest
0ed30ccd0baf1c1332e6e082c64455a4.jpg;balance_elements;llava;llava;deepseek;pinterest
e2e69c417d307e48ed275826300dacbd.jpg;balance_elements;cogvlm;cogvlm;deepseek;pinterest
b3de88d2fa3fbf442749bcbf10bb8939.jpg;eye_movement_2;llava;llava;deepseek;pinterest
9ecc59478f04350c181bb99b75a1e6c4.jpg;eye_movement_2;cogvlm;cogvlm;deepseek;pinterest
1eb250ac61e9ffca969c5f528ead6b23.jpg;eye_movement_2;cogvlm;llava;cogvlm;pinterest
a67ca6813835e5e58961d4336e46c197.jpg;balance_elements;;cogvlm;deepseek;pinterest
24c5eda44962442b432db52c7dfd5d1a.jpg;balance_elements;;llava;deepseek;pinterest
1c501095b675902362f6e9dcc8bab246.jpg;balance_elements;;llava;cogvlm;pinterest
d8c5f661e9d5ffa8bffc814a3fc6e935.jpg;symmetry_asymmetry_1;;cogvlm;deepseek;pinterest
7a566e1c05c0b42c118760aeecc47edb.jpg;symmetry_asymmetry_1;;llava;deepseek;pinterest
d64d133d79b7ad425c6f52a8e02a09f5.jpg;symmetry_asymmetry_1;;llava;cogvlm;pinterest
raphael_the-death-of-ananias-cartoon-for-the-sistine-chapel.jpg;foreground_background_4;deepseek;llava;deepseek;renaissance
raphael_the-marriage-of-the-virgin-1504-1.jpg;foreground_background_4;deepseek;cogvlm;deepseek;renaissance
andrea-del-sarto_the-annunciation-1513.jpg;foreground_background_4;cogvlm;llava;cogvlm;renaissance
cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;contrast_elements;cogvlm;cogvlm;deepseek;renaissance
vittore-carpaccio_the-glory-of-st-vidal-1514.jpg;contrast_elements;deepseek;llava;deepseek;renaissance
andrea-mantegna_st-jacques-leads-to-martyrdom.jpg;contrast_elements;cogvlm;llava;cogvlm;renaissance
26c521930dd73c0bf8a8675b08698b51.jpg;symmetry_asymmetry_1;cogvlm;cogvlm;deepseek;pinterest
f78e6b6a97e7c5bb2d9b77952e43b428.jpg;symmetry_asymmetry_1;llava;llava;deepseek;pinterest
b129f69309638fda34b7da2ebbfce83a.jpg;symmetry_asymmetry_1;cogvlm;llava;cogvlm;pinterest
0cfe6cbc00ffd9c46c5ca805eedb14a5.jpg;eye_movement_2;deepseek;cogvlm;deepseek;pinterest
9ecc59478f04350c181bb99b75a1e6c4.jpg;eye_movement_2;llava;llava;cogvlm;pinterest
437f14c6a2218e91d70e2ed77a05ee36.jpg;eye_movement_2;deepseek;llava;deepseek;pinterest
6c21114880937e39b4bea10ce45567c2.jpg;composition;deepseek;;;pinterest
2174b333c91d2fa7d936e97e4386d983.jpg;composition;llava;;;pinterest
1eb250ac61e9ffca969c5f528ead6b23.jpg;composition;cogvlm;;;pinterest
b129f69309638fda34b7da2ebbfce83a.jpg;contrast_elements;llava;;;pinterest
178acaa395581f4c77c1510a253e3ced.jpg;contrast_elements;deepseek;;;pinterest
26c521930dd73c0bf8a8675b08698b51.jpg;contrast_elements;llava;;;pinterest
andrea-mantegna_the-martyrdom-of-st-jacques.jpg;composition;cogvlm;;;renaissance
andrea-mantegna_the-agony-in-the-garden.jpg;composition;deepseek;;;renaissance
pietro-perugino_marriage-of-the-virgin-1504.jpg;composition;deepseek;;;renaissance
cima-da-conegliano_the-healing-of-anianus.jpg;focus_point;cogvlm;;;renaissance
raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;focus_point;deepseek;;;renaissance
vittore-carpaccio_the-repatriation-of-the-english-ambassadors-1500.jpg;focus_point;llava;;;renaissance
correggio_departure-of-christ-from-mary-with-mary-and-martha-the-sisters-of-lazarus-1518.jpg;symmetry_asymmetry_1;deepseek;;;renaissance
lorenzo-lotto_christ-s-farewell-to-mary-1521.jpg;symmetry_asymmetry_1;deepseek;;;renaissance
dosso-dossi_the-three-ages-of-man-1515.jpg;symmetry_asymmetry_1;llava;;;renaissance
pietro-perugino_pala-di-corciano-annunciation.jpg;foreground_background_4;llava;;;renaissance
raphael_the-blinding-of-elymas-cartoon-for-the-sistine-chapel.jpg;foreground_background_4;cogvlm;;;renaissance
giorgione_musical-instruments-music-1510(1).jpg;foreground_background_4;cogvlm;;;renaissance
e8cad5095d378494dcfc41b2d33d8915.jpg;symmetry_asymmetry_1;llava;;;pinterest
fe4c7983efd3242e7322ecee9c665e68.jpg;symmetry_asymmetry_1;deepseek;;;pinterest
d8c5f661e9d5ffa8bffc814a3fc6e935.jpg;symmetry_asymmetry_1;cogvlm;;;pinterest
cb5b90942c93eb6688aaa0b633df56a9.jpg;foreground_background_4;deepseek;;;pinterest
4dceb2db532d3e56bfadf5b1a28713c2.jpg;foreground_background_4;llava;;;pinterest
317cbd7af35213a4a80e5d31e30368e8.jpg;foreground_background_4;llava;;;pinterest
dd5d1b60db599be5e8c238bee8462a15.jpg;focus_point;cogvlm;;;pinterest
9ecc59478f04350c181bb99b75a1e6c4.jpg;focus_point;llava;;;pinterest
7a566e1c05c0b42c118760aeecc47edb.jpg;focus_point;deepseek;;;pinterest
e2e69c417d307e48ed275826300dacbd.jpg;balance_elements;deepseek;;;pinterest
b3de88d2fa3fbf442749bcbf10bb8939.jpg;balance_elements;deepseek;;;pinterest
d792700abadc24170124b8b01915d5f8.jpg;balance_elements;cogvlm;;;pinterest
andrea-del-sarto_stories-of-joseph.jpg;focus_point;llava;;;renaissance
andrea-del-sarto_the-annunciation-1513.jpg;focus_point;cogvlm;;;renaissance
vittore-carpaccio_the-repatriation-of-the-english-ambassadors-1500.jpg;focus_point;deepseek;;;renaissance
raphael_the-marriage-of-the-virgin-1504-1.jpg;balance_elements;cogvlm;;;renaissance
andrea-mantegna_the-agony-in-the-garden.jpg;balance_elements;deepseek;;;renaissance
andrea-mantegna_the-martyrdom-of-st-jacques.jpg;balance_elements;deepseek;;;renaissance
cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;contrast_elements;cogvlm;;;renaissance
pietro-perugino_pala-di-fano-nativity-of-mary.jpg;contrast_elements;deepseek;;;renaissance
andrea-del-sarto_stories-of-joseph-1.jpg;contrast_elements;deepseek;;;renaissance
andrea-del-sarto_stories-of-joseph.jpg;eye_movement_2;llava;;;renaissance
vittore-carpaccio_the-departure-of-the-english-ambassadors-1498.jpg;eye_movement_2;deepseek;;;renaissance
raphael_st-cecilia-with-saints-detail-1516-1.jpg;eye_movement_2;cogvlm;;;renaissance
andrea-mantegna_the-agony-in-the-garden.jpg;symmetry_asymmetry_1;llava;;;renaissance
vittore-carpaccio_the-miracle-of-the-relic-of-the-true-cross-on-the-rialto-bridge-1494.jpg;symmetry_asymmetry_1;llava;;;renaissance
giorgione_the-sunset-1510(1).jpg;symmetry_asymmetry_1;cogvlm;;;renaissance
pietro-perugino_pala-di-fano-nativity-of-mary.jpg;proportion;llava;;;renaissance
lorenzo-lotto_altar-of-st-lucia-st-lucia-in-front-of-the-judges-1532.jpg;proportion;cogvlm;;;renaissance
raphael_st-cecilia-with-saints-detail-1516-1.jpg;proportion;cogvlm;;;renaissance
pietro-perugino_pala-di-fano-nativity-of-mary.jpg;symmetry_asymmetry_1;cogvlm;;;renaissance
raphael_the-marriage-of-the-virgin-1504-1.jpg;symmetry_asymmetry_1;deepseek;;;renaissance
vittore-carpaccio_the-glory-of-st-vidal-1514.jpg;symmetry_asymmetry_1;cogvlm;;;renaissance
correggio_departure-of-christ-from-mary-with-mary-and-martha-the-sisters-of-lazarus-1518.jpg;balance_elements;deepseek;;;renaissance
andrea-mantegna_the-agony-in-the-garden.jpg;balance_elements;cogvlm;;;renaissance
raphael_isaac-and-rebecca-spied-upon-by-abimelech-1519.jpg;balance_elements;cogvlm;;;renaissance
raphael_the-death-of-ananias-cartoon-for-the-sistine-chapel.jpg;composition;llava;;;renaissance
cima-da-conegliano_the-healing-of-anianus.jpg;composition;cogvlm;;;renaissance
andrea-mantegna_captured-statues-and-siege-equipment-1506.jpg;composition;cogvlm;;;renaissance
cima-da-conegliano_st-peter-enthroned-with-saints.jpg;foreground_background_4;deepseek;;;renaissance
lorenzo-lotto_altar-polyptych-of-san-bartolomeo-bergamo-foot-plate-entombment-1516.jpg;foreground_background_4;deepseek;;;renaissance
correggio_the-adoration-of-the-magi-1518(2).jpg;foreground_background_4;llava;;;renaissance
andrea-mantegna_samson-and-delilah-1506.jpg;composition;deepseek;;;renaissance
cima-da-conegliano_st-peter-enthroned-with-saints.jpg;composition;deepseek;;;renaissance
correggio_four-saints-from-left-st-peter-st-martha-st-mary-magdalene-st-leonard-1517.jpg;composition;llava;;;renaissance
andrea-del-sarto_the-annunciation-1513.jpg;symmetry_asymmetry_1;deepseek;;;renaissance
raphael_the-guards-outside-the-prison-detail-from-the-liberation-of-st-peter-in-the-stanza-d-eliodoro-1514.jpg;symmetry_asymmetry_1;cogvlm;;;renaissance
correggio_adoration-of-the-christ-child(2).jpg;symmetry_asymmetry_1;deepseek;;;renaissance
giorgione_the-sunset-1510(1).jpg;focus_point;deepseek;;;renaissance
andrea-mantegna_captured-statues-and-siege-equipment-1506.jpg;focus_point;llava;;;renaissance
giovanni-antonio-boltraffio_portrait-alleged-to-be-of-anne-whateley-in-fact-likely-to-be-girolamo-casio-1495.jpg;focus_point;llava;;;renaissance
cima-da-conegliano_presentation-of-the-virgin-at-the-temple.jpg;contrast_elements;deepseek;;;renaissance
raphael_the-marriage-of-the-virgin-1504-1.jpg;contrast_elements;cogvlm;;;renaissance
