llava;cogvlm;deepseek
trueskill.Rating(mu=25.000, sigma=8.333);trueskill.Rating(mu=25.000, sigma=8.333);trueskill.Rating(mu=25.000, sigma=8.333)
trueskill.Rating(mu=29.396, sigma=7.171);trueskill.Rating(mu=25.000, sigma=8.333);trueskill.Rating(mu=20.604, sigma=7.171)
trueskill.Rating(mu=31.957, sigma=6.464);trueskill.Rating(mu=21.542, sigma=7.201);trueskill.Rating(mu=20.604, sigma=7.171)
trueskill.Rating(mu=31.957, sigma=6.464);trueskill.Rating(mu=25.017, sigma=6.287);trueskill.Rating(mu=17.157, sigma=6.269)
trueskill.Rating(mu=24.614, sigma=5.389);trueskill.Rating(mu=25.017, sigma=6.287);trueskill.Rating(mu=24.065, sigma=5.294)
trueskill.Rating(mu=27.102, sigma=4.863);trueskill.Rating(mu=21.629, sigma=5.435);trueskill.Rating(mu=24.065, sigma=5.294)
trueskill.Rating(mu=27.102, sigma=4.863);trueskill.Rating(mu=24.765, sigma=4.786);trueskill.Rating(mu=21.090, sigma=4.696)
trueskill.Rating(mu=28.909, sigma=4.422);trueskill.Rating(mu=23.015, sigma=4.366);trueskill.Rating(mu=21.090, sigma=4.696)
trueskill.Rating(mu=28.909, sigma=4.422);trueskill.Rating(mu=20.821, sigma=3.965);trueskill.Rating(mu=23.629, sigma=4.193)
trueskill.Rating(mu=25.914, sigma=3.936);trueskill.Rating(mu=20.821, sigma=3.965);trueskill.Rating(mu=26.323, sigma=3.782)
trueskill.Rating(mu=23.424, sigma=3.566);trueskill.Rating(mu=23.347, sigma=3.586);trueskill.Rating(mu=26.323, sigma=3.782)
trueskill.Rating(mu=23.424, sigma=3.566);trueskill.Rating(mu=22.323, sigma=3.368);trueskill.Rating(mu=27.462, sigma=3.525)
trueskill.Rating(mu=22.523, sigma=3.359);trueskill.Rating(mu=22.323, sigma=3.368);trueskill.Rating(mu=28.342, sigma=3.325)
trueskill.Rating(mu=21.214, sigma=3.133);trueskill.Rating(mu=23.639, sigma=3.140);trueskill.Rating(mu=28.342, sigma=3.325)
trueskill.Rating(mu=20.761, sigma=3.018);trueskill.Rating(mu=23.639, sigma=3.140);trueskill.Rating(mu=28.852, sigma=3.186)
trueskill.Rating(mu=20.761, sigma=3.018);trueskill.Rating(mu=23.030, sigma=3.001);trueskill.Rating(mu=29.479, sigma=3.041)
trueskill.Rating(mu=19.922, sigma=2.862);trueskill.Rating(mu=23.859, sigma=2.847);trueskill.Rating(mu=29.479, sigma=3.041)
trueskill.Rating(mu=19.922, sigma=2.862);trueskill.Rating(mu=23.384, sigma=2.744);trueskill.Rating(mu=30.021, sigma=2.913)
